
taskID: 194, robotID: 8, action: 4.0, startPos: [12  1], goalPos: [12  0], time: 1, 
taskID: 195, robotID: 8, action: 3.0, startPos: [12  0], goalPos: [11  0], time: 2, 
taskID: 196, robotID: 8, action: 3.0, startPos: [11  0], goalPos: [10  0], time: 3, 
taskID: 197, robotID: 8, action: 3.0, startPos: [10  0], goalPos: [9 0], time: 4, 
taskID: 198, robotID: 8, action: 3.0, startPos: [9 0], goalPos: [8 0], time: 5, 
taskID: 199, robotID: 8, action: 0.0, startPos: [8 0], goalPos: [8 0], time: 6, 
taskID: 200, robotID: 8, action: 0.0, startPos: [8 0], goalPos: [8 0], time: 7, 
taskID: 201, robotID: 8, action: 0.0, startPos: [8 0], goalPos: [8 0], time: 8, 
taskID: 202, robotID: 8, action: 2.0, startPos: [8 0], goalPos: [8 1], time: 9, 
taskID: 203, robotID: 8, action: 4.0, startPos: [8 1], goalPos: [8 0], time: 10, 
taskID: 204, robotID: 8, action: 0.0, startPos: [8 0], goalPos: [8 0], time: 11, 
taskID: 205, robotID: 8, action: 0.0, startPos: [8 0], goalPos: [8 0], time: 12, 
taskID: 206, robotID: 8, action: 0.0, startPos: [8 0], goalPos: [8 0], time: 13, 
taskID: 207, robotID: 8, action: 0.0, startPos: [8 0], goalPos: [8 0], time: 14, 
taskID: 208, robotID: 8, action: 0.0, startPos: [8 0], goalPos: [8 0], time: 15, 
taskID: 209, robotID: 8, action: 0.0, startPos: [8 0], goalPos: [8 0], time: 16, 
taskID: 210, robotID: 8, action: 0.0, startPos: [8 0], goalPos: [8 0], time: 17, 
taskID: 211, robotID: 8, action: 0.0, startPos: [8 0], goalPos: [8 0], time: 18, 
taskID: 212, robotID: 8, action: 0.0, startPos: [8 0], goalPos: [8 0], time: 19, 
taskID: 213, robotID: 8, action: 0.0, startPos: [8 0], goalPos: [8 0], time: 20, 
taskID: 214, robotID: 8, action: 0.0, startPos: [8 0], goalPos: [8 0], time: 21, 
taskID: 215, robotID: 8, action: 0.0, startPos: [8 0], goalPos: [8 0], time: 22, 
taskID: 216, robotID: 8, action: 0.0, startPos: [8 0], goalPos: [8 0], time: 23, 
taskID: 217, robotID: 9, action: 4.0, startPos: [ 3 11], goalPos: [ 3 10], time: 0, 
taskID: 218, robotID: 9, action: 4.0, startPos: [ 3 10], goalPos: [3 9], time: 1, 
taskID: 219, robotID: 9, action: 4.0, startPos: [3 9], goalPos: [3 8], time: 2, 
taskID: 220, robotID: 9, action: 4.0, startPos: [3 8], goalPos: [3 7], time: 3, 
taskID: 221, robotID: 9, action: 4.0, startPos: [3 7], goalPos: [3 6], time: 4, 
taskID: 222, robotID: 9, action: 4.0, startPos: [3 6], goalPos: [3 5], time: 5, 
taskID: 223, robotID: 9, action: 3.0, startPos: [3 5], goalPos: [2 5], time: 6, 
taskID: 224, robotID: 9, action: 4.0, startPos: [2 5], goalPos: [2 4], time: 7, 
taskID: 225, robotID: 9, action: 3.0, startPos: [2 4], goalPos: [1 4], time: 8, 
taskID: 226, robotID: 9, action: 4.0, startPos: [1 4], goalPos: [1 3], time: 9, 
taskID: 227, robotID: 9, action: 4.0, startPos: [1 3], goalPos: [1 2], time: 10, 
taskID: 228, robotID: 9, action: 3.0, startPos: [1 2], goalPos: [0 2], time: 11, 
taskID: 229, robotID: 9, action: 4.0, startPos: [0 2], goalPos: [0 1], time: 12, 
taskID: 230, robotID: 9, action: 0.0, startPos: [0 1], goalPos: [0 1], time: 13, 
taskID: 231, robotID: 9, action: 0.0, startPos: [0 1], goalPos: [0 1], time: 14, 
taskID: 232, robotID: 9, action: 0.0, startPos: [0 1], goalPos: [0 1], time: 15, 
taskID: 233, robotID: 9, action: 0.0, startPos: [0 1], goalPos: [0 1], time: 16, 
taskID: 234, robotID: 9, action: 0.0, startPos: [0 1], goalPos: [0 1], time: 17, 
taskID: 235, robotID: 9, action: 0.0, startPos: [0 1], goalPos: [0 1], time: 18, 
taskID: 236, robotID: 9, action: 0.0, startPos: [0 1], goalPos: [0 1], time: 19, 
taskID: 237, robotID: 9, action: 0.0, startPos: [0 1], goalPos: [0 1], time: 20, 
taskID: 238, robotID: 9, action: 0.0, startPos: [0 1], goalPos: [0 1], time: 21, 
taskID: 239, robotID: 9, action: 0.0, startPos: [0 1], goalPos: [0 1], time: 22, 
taskID: 240, robotID: 9, action: 0.0, startPos: [0 1], goalPos: [0 1], time: 23, 
taskID: 241, robotID: 10, action: 1.0, startPos: [4 9], goalPos: [5 9], time: 0, 
taskID: 242, robotID: 10, action: 2.0, startPos: [5 9], goalPos: [ 5 10], time: 1, 
taskID: 243, robotID: 10, action: 1.0, startPos: [ 5 10], goalPos: [ 6 10], time: 2, 
taskID: 244, robotID: 10, action: 1.0, startPos: [ 6 10], goalPos: [ 7 10], time: 3, 
taskID: 245, robotID: 10, action: 1.0, startPos: [ 7 10], goalPos: [ 8 10], time: 4, 
taskID: 246, robotID: 10, action: 1.0, startPos: [ 8 10], goalPos: [ 9 10], time: 5, 
taskID: 247, robotID: 10, action: 2.0, startPos: [ 9 10], goalPos: [ 9 11], time: 6, 
taskID: 248, robotID: 10, action: 2.0, startPos: [ 9 11], goalPos: [ 9 12], time: 7, 
taskID: 249, robotID: 10, action: 1.0, startPos: [ 9 12], goalPos: [10 12], time: 8, 
taskID: 250, robotID: 10, action: 1.0, startPos: [10 12], goalPos: [11 12], time: 9, 
taskID: 251, robotID: 10, action: 0.0, startPos: [11 12], goalPos: [11 12], time: 10, 
taskID: 252, robotID: 10, action: 4.0, startPos: [11 12], goalPos: [11 11], time: 11, 
taskID: 253, robotID: 10, action: 1.0, startPos: [11 11], goalPos: [12 11], time: 12, 
taskID: 254, robotID: 10, action: 2.0, startPos: [12 11], goalPos: [12 12], time: 13, 
taskID: 255, robotID: 10, action: 2.0, startPos: [12 12], goalPos: [12 13], time: 14, 
taskID: 256, robotID: 10, action: 2.0, startPos: [12 13], goalPos: [12 14], time: 15, 
taskID: 257, robotID: 10, action: 0.0, startPos: [12 14], goalPos: [12 14], time: 16, 
taskID: 258, robotID: 10, action: 0.0, startPos: [12 14], goalPos: [12 14], time: 17, 
taskID: 259, robotID: 10, action: 0.0, startPos: [12 14], goalPos: [12 14], time: 18, 
taskID: 260, robotID: 10, action: 0.0, startPos: [12 14], goalPos: [12 14], time: 19, 
taskID: 261, robotID: 10, action: 0.0, startPos: [12 14], goalPos: [12 14], time: 20, 
taskID: 262, robotID: 10, action: 0.0, startPos: [12 14], goalPos: [12 14], time: 21, 
taskID: 263, robotID: 10, action: 0.0, startPos: [12 14], goalPos: [12 14], time: 22, 
taskID: 264, robotID: 10, action: 0.0, startPos: [12 14], goalPos: [12 14], time: 23, 
taskID: 265, robotID: 11, action: 4.0, startPos: [14  4], goalPos: [14  3], time: 0, 
taskID: 266, robotID: 11, action: 4.0, startPos: [14  3], goalPos: [14  2], time: 1, 
taskID: 267, robotID: 11, action: 4.0, startPos: [14  2], goalPos: [14  1], time: 2, 
taskID: 268, robotID: 11, action: 3.0, startPos: [14  1], goalPos: [13  1], time: 3, 
taskID: 269, robotID: 11, action: 3.0, startPos: [13  1], goalPos: [12  1], time: 4, 
taskID: 270, robotID: 11, action: 3.0, startPos: [12  1], goalPos: [11  1], time: 5, 
taskID: 271, robotID: 11, action: 4.0, startPos: [11  1], goalPos: [11  0], time: 6, 
taskID: 272, robotID: 11, action: 3.0, startPos: [11  0], goalPos: [10  0], time: 7, 
taskID: 273, robotID: 11, action: 3.0, startPos: [10  0], goalPos: [9 0], time: 8, 
taskID: 274, robotID: 11, action: 3.0, startPos: [9 0], goalPos: [8 0], time: 9, 
taskID: 275, robotID: 11, action: 3.0, startPos: [8 0], goalPos: [7 0], time: 10, 
taskID: 276, robotID: 11, action: 3.0, startPos: [7 0], goalPos: [6 0], time: 11, 
taskID: 277, robotID: 11, action: 3.0, startPos: [6 0], goalPos: [5 0], time: 12, 
taskID: 278, robotID: 11, action: 0.0, startPos: [5 0], goalPos: [5 0], time: 13, 
taskID: 279, robotID: 11, action: 0.0, startPos: [5 0], goalPos: [5 0], time: 14, 
taskID: 280, robotID: 11, action: 0.0, startPos: [5 0], goalPos: [5 0], time: 15, 
taskID: 281, robotID: 11, action: 0.0, startPos: [5 0], goalPos: [5 0], time: 16, 
taskID: 282, robotID: 11, action: 0.0, startPos: [5 0], goalPos: [5 0], time: 17, 
taskID: 283, robotID: 11, action: 0.0, startPos: [5 0], goalPos: [5 0], time: 18, 
taskID: 284, robotID: 11, action: 0.0, startPos: [5 0], goalPos: [5 0], time: 19, 
taskID: 285, robotID: 11, action: 0.0, startPos: [5 0], goalPos: [5 0], time: 20, 
