NUM_AGENTS,PercentSpaceEmpty,|,CPP_OriginalADG_Time,CPP_SAGE_Time,CPP_FORTED_Time,CPP_MAGE_FORTED_Time,CPP_MAGE_SAGE_Time,|,CPP_OriginalADG_Comms,CPP_SAGE_Comms,CPP_FORTED_Comms,CPP_MAGE_FORTED_Comms,CPP_MAGE_SAGE_Comms
850,0.41135734072022156,|,31.19814345240593,0.20379596948623657,0.037646546959877014,11.773026093840599,12.058593854308128,|,425481.25,425481.25,31513.0625,29887.4375,29887.4375
860,0.40443213296398894,|,32.695468589663506,0.21837887167930603,0.037869736552238464,12.278256878256798,12.579878121614456,|,444542.125,444542.125,32146.8125,30527.0625,30527.0625
870,0.42800788954635105,|,32.77169746160507,0.20953811705112457,0.03784531354904175,12.449253976345062,12.728676065802574,|,420074.375,420074.375,31856.8125,30109.125,30109.125
880,0.42143326758711375,|,34.82161481678486,0.228186696767807,0.039374157786369324,13.072733953595161,13.403022855520248,|,447947.5625,447947.5625,32765.625,31042.6875,31042.6875
890,0.41485864562787644,|,37.578822046518326,0.2441032975912094,0.04116462171077728,13.97023731470108,14.279684782028198,|,466471.0,466471.0,33682.8125,31951.5,31951.5
900,0.40828402366863903,|,34.37526398897171,0.24860744178295135,0.03947284817695618,13.155363589525223,13.513200297951698,|,482396.0625,482396.0625,34344.125,32621.0,32621.0
910,0.4017094017094017,|,41.130165830254555,0.26848122477531433,0.04492935538291931,15.31827487051487,15.669761762022972,|,503767.0625,503767.0625,35458.0,33699.625,33699.625
920,0.42500000000000004,|,38.97997833788395,0.25376346707344055,0.0414058119058609,14.349007800221443,14.722624629735947,|,479576.25,479576.25,34975.375,33093.125,33093.125
930,0.41874999999999996,|,42.89067216217518,0.2783646434545517,0.045855820178985596,15.61001393198967,15.98255717754364,|,513944.125,513944.125,36542.75,34631.0625,34631.0625
940,0.4125,|,40.98246389627457,0.27941134572029114,0.0432906448841095,15.404270872473717,15.796863704919815,|,521352.0625,521352.0625,36729.375,34856.4375,34856.4375
950,0.40625,|,42.34292857348919,0.2924079895019531,0.04580751061439514,15.573127180337906,15.949016079306602,|,531986.0625,531986.0625,37085.5625,35226.25,35226.25
960,0.4,|,45.43573208153248,0.31196652352809906,0.04972739517688751,16.550125867128372,16.96196435391903,|,559262.375,559262.375,38486.625,36593.6875,36593.6875
970,0.4229625223081499,|,49.96642751991749,0.3047700822353363,0.05492885410785675,17.424620270729065,17.82349617779255,|,542505.8125,542505.8125,38248.4375,36237.0625,36237.0625
980,0.41701368233194525,|,56.109574645757675,0.3292815685272217,0.05781681835651398,18.758596882224083,19.1311873793602,|,564523.875,564523.875,38933.75,36950.625,36950.625
990,0.4110648423557406,|,53.783643916249275,0.34305647015571594,0.05836004018783569,18.802973493933678,19.228551745414734,|,588008.625,588008.625,40066.0,38043.625,38043.625
1000,0.40511600237953604,|,53.8006884008646,0.3513931483030319,0.05862636864185333,18.719314590096474,19.16140539944172,|,603129.5,603129.5,40782.0,38790.6875,38790.6875
1010,0.42743764172335597,|,56.02157837152481,0.3536655902862549,0.06359462440013885,19.436047434806824,19.8979669213295,|,594489.1875,594489.1875,41497.9375,39270.0625,39270.0625
